id,name,lat,lon,alt
3060525655,Street Unknown road,50.8674252,4.6988278,16.92
1132625517,Street Unknown road,50.8674369,4.6988385,8.04
3060525656,Street Unknown road,50.8674677,4.6987572,36.24
1132625530,Street Unknown road,50.8674928,4.698691,31.36
3060525657,Street Unknown road,50.8674569,4.6987466,45.44
1132625492,Street Unknown road,50.8674115,4.6986105,40.84
1132625443,Street Unknown road,50.8673828,4.6986454,15.33
1132625495,Street Unknown road,50.8673489,4.6986534,49.88
1132625469,Street Unknown road,50.8673134,4.6986508,16.19
1132625418,Intersection Unknown road & Erasme Ruelenspark,50.8672615,4.6986538,23.44
3060530261,Intersection Unknown road & Erasme Ruelenspark,50.8672665,4.6987685,25.75
12974725586,Street Erasme Ruelenspark,50.8672583,4.6985835,8.25
249438690,Street Erasme Ruelenspark,50.8672689,4.698821,47.45
3060530262,Street Unknown road,50.867147,4.6987368,32.62
5437074483,Street Erasme Ruelenspark,50.8672595,4.6985585,7.12
249438689,Street Erasme Ruelenspark,50.8672783,4.6990334,29.63
12974725587,Street Erasme Ruelenspark,50.8672624,4.6985348,30.96
11865635920,Street Erasme Ruelenspark,50.8672784,4.6991168,32.72
16658368,Street Erasme Ruelenspark,50.8672671,4.6985119,48.89
12974725585,Street Erasme Ruelenspark,50.867277,4.6991497,26.72
12974725588,Street Erasme Ruelenspark,50.8673545,4.698223,38.74
203237412,Street Erasme Ruelenspark,50.8672737,4.6991748,29.61
12974725589,Street Erasme Ruelenspark,50.8673639,4.6982003,22.34
12974725584,Street Erasme Ruelenspark,50.867267,4.699204,29.82
5437074482,Street Erasme Ruelenspark,50.8673744,4.6981827,48.99
324434864,Intersection Unknown road & Erasme Ruelenspark,50.8672562,4.6992349,33.62
12974725590,Street Erasme Ruelenspark,50.8673877,4.6981666,12.26
11865635921,Street Erasme Ruelenspark,50.8672265,4.6992889,10.3
324434865,Street Unknown road,50.8673838,4.6993588,42.97
3056167886,Street Unknown road,50.8672248,4.6992211,37.13
16571284,Street Erasme Ruelenspark,50.8674014,4.6981553,6.8
1132625527,Street Erasme Ruelenspark,50.8671947,4.699329,26.49
3058147551,Street Unknown road,50.8674331,4.6992261,16.6
1352416334,Street Unknown road,50.8673457,4.6994566,30.83
3056167887,Street Unknown road,50.8671704,4.6991913,20.21
1088372913,Intersection Unknown road & Erasme Ruelenspark,50.8675107,4.6981086,48.93
1132625471,Intersection Unknown road & Erasme Ruelenspark,50.8670285,4.6994798,9.77
324434866,Street Unknown road,50.8674414,4.6992038,6.86
3058147552,Street Unknown road,50.867424,4.6992183,23.47
3058147540,Street Unknown road,50.8673319,4.6994921,15.63
615421594,Street Unknown road,50.8671459,4.6991778,9.9
1098529539,Street Erasme Ruelenspark,50.8676077,4.6980673,27.69
1088372882,Street Unknown road,50.8676705,4.6984068,36.58
1132625505,Street Unknown road,50.8670047,4.6995387,15.19
1132625429,Street Erasme Ruelenspark,50.8669127,4.6995721,46.95
324434868,Street Unknown road,50.8675563,4.699312,38.98
1088372891,Street Unknown road,50.8674647,4.6991415,10.79
3058147542,Street Unknown road,50.867297,4.6995815,12.16
3058147539,Street Unknown road,50.8673212,4.6994817,24.68
615421599,Street Unknown road,50.8670525,4.6992808,12.94
1132625407,Street Unknown road,50.8670645,4.6990477,12.92
1098529545,Intersection Unknown road & Erasme Ruelenspark,50.8676768,4.698006,30.64
1088372836,Street Unknown road,50.8677344,4.6984706,29.11
3060525661,Street Unknown road,50.8677076,4.6985397,11.58
3056518846,Street Unknown road,50.866861,4.6998984,26.57
1132625444,Street Unknown road,50.8671187,4.6996459,34.28
1098529543,Intersection Unknown road & Erasme Ruelenspark,50.8668184,4.6996176,45.31
3058147555,Street Unknown road,50.8676006,4.6991951,5.25
3060525912,Street Unknown road,50.8675188,4.6994062,34.15
3058147547,Street Unknown road,50.867457,4.6991339,46.25
3058147544,Street Unknown road,50.867262,4.6996712,28.54
3058147541,Street Unknown road,50.8672863,4.6995711,26.01
1226107480,Street Unknown road,50.8669677,4.6992788,20.87
1132625528,Street Unknown road,50.8667615,4.699028,20.17
203236151,Street Unknown road,50.8677949,4.6980988,33.9
8710221916,Street Unknown road,50.8675738,4.6979251,12.5
1088372843,Street Unknown road,50.8678449,4.6985811,18.24
3060525658,Street Unknown road,50.8676375,4.6987203,49.15
615422306,Street Unknown road,50.8668232,4.6999931,5.15
3056518847,Street Unknown road,50.8668454,4.6998836,49.38
1352416330,Street Unknown road,50.8670974,4.6997012,30.75
3056518844,Street Unknown road,50.8667042,4.6998897,25.16
615421598,Intersection Unknown road & Erasme Ruelenspark,50.8667492,4.6996466,26.67
324434869,Street Unknown road,50.867609,4.6991729,17.53
3058147556,Street Unknown road,50.867591,4.6991854,19.08
3058147549,Street Unknown road,50.8675088,4.6994315,21.93
3060525913,Street Unknown road,50.8676289,4.6995076,17.72
3058147546,Street Unknown road,50.8672291,4.6997556,20.87
3058147543,Street Unknown road,50.8672513,4.6996606,37.05
1226107497,Street Unknown road,50.8669684,4.699335,44.86
3070613948,Street Unknown road,50.8667607,4.6990491,16.49
1098517370,Street Unknown road,50.8679236,4.6981999,30.63
5435644349,Street Unknown road,50.867827,4.6980035,14.49
1098517477,Street Unknown road,50.8674597,4.6978355,22.09
8710221915,Street Unknown road,50.8676292,4.697773,24.72
3060525665,Street Unknown road,50.8678178,4.6986517,26.17
1088372867,Street Unknown road,50.8676053,4.6988033,22.98
3060525659,Street Unknown road,50.8676238,4.6987067,17.23
3056518845,Street Unknown road,50.8668075,4.6999806,43.08
1088372857,Street Unknown road,50.8672073,4.6998115,44.62
3056518849,Street Unknown road,50.8670906,4.6997189,30.37
1098529549,Street Unknown road,50.8666752,4.6999626,32.69
3056518843,Street Unknown road,50.8666906,4.6998769,30.93
615421597,Street Unknown road,50.8667551,4.6993304,18.03
1132625428,Intersection Unknown road & Erasme Ruelenspark,50.8664734,4.6997682,5.56
1352416337,Street Unknown road,50.8676449,4.6992065,18.68
3058147553,Street Unknown road,50.8676327,4.6991099,13.88
1639562279,Street Unknown road,50.867474,4.6995189,32.76
3058147550,Street Unknown road,50.867499,4.6994211,25.3
3060525916,Street Unknown road,50.8676515,4.6994525,8.61
